Neil Gorsuch|To some lawyers, all facts are created equal.
Mo Yan|There's so many things I want to do. I want to work with great filmmakers, great actors, great scripts. And there's no reason for me to do anything short of that, because I'm 24, I don't have a family, I don't need to make tons of money, and I'm not dying to get famous.
Wayne Gerard Trotman, Veterans of the Psychic Wars|What you call life is but a dream, and reality is relative.
Kathryn E. Livingston|Yoga isn’t just about showing up on the mat. It’s about showing up in your life, in your day; it’s about opening your heart while standing firm and strong and believing in yourself.
Sharon Ricklin, River of Time|Kyle clapped his hands together. “Goody! The Zoe dates back some 3000 years to when the Greek gods ruled.”“Who’s Zoe?” I interjected.Kyle huffed. “It’s not a who, it’s a what.
Albert Bandura, Social Learning Theory|Psychology cannot tell people how they ought to live their lives. It can however, provide them with the means for effecting personal and social change.
Rainer Maria Rilke, Letters to a Young Poet|We have testimony about solitude from the most creative among us. For Mozart, "When I am, as it were, completely myself, entirely alone, and of good cheer -- say, traveling in a carriage or walking after a good meal or during the night when I cannot sleep -- it is on such occasions that my ideas flow best and most abundantly." For Kafka, "You need not leave your room. Remain sitting at your table and listen. You need not even listen, simply wait, just learn to become quiet, and still, and solitary. The world will freely offer itself to you to be unmasked." For Thomas Mann, "Solitude gives birth the original in us, to beauty unfamiliar and perilous -- to poetry." For Picasso, "Without great solitude, no serious work is possible.
Ruth Park, The Harp in the South|Then she said, with piteous defiance, "If I could love her, the Good Lord could, and he won't be too hard on an old lady who didn't have an easy life.
Ralph Waldo Emerson, Self-Reliance|I have no churlish objection to the circumnavigation of the globe, for the purposes of art, of study, and benevolence, so that the man is first domesticated, or does not go abroad with the hope of finding somewhat greater than he knows. He who travels to be amused, or to get somewhat which he does not carry, travels away from himself, and grows old even in youth among old things
Stephen King, It|You are no star, Gabby. You're the sky. The rest of us are just circling your orbit.
Mary Jane Hathaway, These Sheltering Walls|He's come a long way, but he's still never accepted that he's forgiven.
Gideon Defoe, The Pirates! In an Adventure with Communists|I would say, if you like, that the party is like an out-moded mathematics...that is to say, the mathematics of Euclid. We need to invent a non-Euclidian mathematics with respect to political discipline.
Thea Harrison, Dragos Takes a Holiday|You’re not just different, you’re exceptional. And I think it’s time that I make you feel that way, too.
Elena Ferrante|I believe that books, once they are written, have no need of their authors. If they have something to say, they will sooner or later find readers; if not, they won’t. . . . I very much love those mysterious volumes, both ancient and modern, that have no definite author but have had and continue to have an intense life of their own. They seem to me a sort of nighttime miracle, like the gifts of the Befana, which I waited for as a child. . . . True miracles are the ones whose makers will never be known. . . .
David Foster Wallace, Consider the Lobster and Other Essays|It is absurd to hold that a man should be ashamed of an inability to defend himself with his limbs, but not ashamed of an inability to defend himself with speech and reason; for the use of rational speech is more distinctive of a human being than the use of his limbs.
Kevin Smith, Tough Shit: Life Advice from a Fat, Lazy Slob Who Did Good|Wanna see how creepy I can be?"-Mr Teatime
Will Schwalbe, The End of Your Life Book Club|Whenever you see confusion, you can be sure that something is wrong. Disorder in the world implies that something is out of place. Usually, at the heart of all disorder you will find man in rebellion against God. It began in the Garden of Eden and continues to this day.
Will Rogers|Commitment is an act, not a word.
Rein Scott, Reborn|You’re demanding fidelity, and I’ll give you that. But if I intended to be celibate, I would’ve become a priest.
